group,name,url
FOOTERS,AP-QUICK-GUIDE-STARTUP,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/footers/ap-quick-guide-startup.png
FOOTERS,AP-QUICK-GUIDE-V77,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/footers/ap-quick-guide-v77.png
FOOTERS,APPEARANCE PAGES FOOTER,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/footers/appearance%20pages%20footer.png
FOOTERS,APPEARANCE PAGES FOOTER FINAL,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/footers/appearance%20pages%20footer%20final.png
FOOTERS,APPEARANCE-PAGES-FOOTER,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/footers/appearance-pages-footer.png
FOOTERS,FINAL-AP-FOOTER,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/footers/final-ap-footer.png
FOOTERS,FINAL-APP-FOOTER-FINAL,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/footers/final-app-footer-final.png
FOOTERS,STARTUP_GUIDE_APPS,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/footers/startup_guide_apps.png
FOOTERS,STYLESHEET,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/footers/stylesheet.png
FOOTERS,STYLESHEET FINAL,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/footers/stylesheet%20final.png
HOTSPOTS,H-CORAL,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/h-coral.png
HOTSPOTS,H-GREEN,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/h-green.png
HOTSPOTS,H-LIGHT-PINK,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/h-light-pink.png
HOTSPOTS,H-MAUVE,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/h-mauve.png
HOTSPOTS,H-MINT,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/h-mint.png
HOTSPOTS,H-ORANGE,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/h-orange.png
HOTSPOTS,H-PINK,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/h-pink.png
HOTSPOTS,H-PURPLE,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/h-purple.png
HOTSPOTS,H-YELLOW,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/h-yellow.png
NUMBERS-EXTRA,HS1,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/numbers-extra/hs1.png
NUMBERS-EXTRA,HS2,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/numbers-extra/hs2.png
NUMBERS-EXTRA,HS3,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/numbers-extra/hs3.png
NUMBERS-EXTRA,HS4,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/numbers-extra/hs4.png
NUMBERS-EXTRA,HS5,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/numbers-extra/hs5.png
NUMBERS-EXTRA,HS6,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/numbers-extra/hs6.png
NUMBERS-EXTRA,HS7,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/numbers-extra/hs7.png
NUMBERS-EXTRA,HS8,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/numbers-extra/hs8.png
NUMBERS-EXTRA,HS9,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/numbers-extra/hs9.png
OBJECTS,ASTERISK,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/asterisk.png
OBJECTS,AVATAR-SIDEKICK,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/avatar-sidekick.png
OBJECTS,AVATAR-USER,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/avatar-user.png
OBJECTS,BROWSER-WHITE,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/browser-white.png
OBJECTS,CAUTION,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/caution.png
OBJECTS,CAUTION COPY,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/caution%20copy.png
OBJECTS,CAUTION-SQUARE,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/caution-square.png
OBJECTS,CHAT-GPT-BUTTON,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/chat-gpt-button.png
OBJECTS,COG-WHITE,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/cog-white.png
OBJECTS,COG-YELLOW,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/cog-yellow.png
OBJECTS,COMPUTER-WHITE,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/computer-white.png
OBJECTS,COMPUTER-WHITE-STICKER,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/computer-white-sticker.png
OBJECTS,COMPUTER-YELLOW,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/computer-yellow.png
OBJECTS,COMPUTER-YELLOW-STICKER,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/computer-yellow-sticker.png
OBJECTS,EMAIL,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/email.png
OBJECTS,FAT-X-GREEN,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/fat-x-green.png
OBJECTS,FOLDER-YELLOW,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/folder-yellow.png
OBJECTS,FREE-WORKSHOP-PURPLE,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/free-workshop-purple.png
OBJECTS,HAND-MINT,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/hand-mint.png
OBJECTS,HAND-YELLOW,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/hand-yellow.png
OBJECTS,HASHTAG-GREEN,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/hashtag-green.png
OBJECTS,HASHTAG-PINK,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/hashtag-pink.png
OBJECTS,HASHTAG-WHITE,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/hashtag-white.png
OBJECTS,HOME,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/home.png
OBJECTS,LIGHTBULB,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/lightbulb.png
OBJECTS,MAGNIFIYING-GLASS-GREEN,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/magnifiying-glass-green.png
OBJECTS,MEGAPHONE-STICKER,https://iridescent-wisp-57bcb1.netlify.app/images/tutorial-annotations/objects/megaphone-sticker.png
